feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
fluoroquinolone.antibiotic.macrolide.antibiotic.penam	Group	LM	1.45191415405765	0.265989028602941	40	11	3.39754433670204e-06	0.00010872249569323
diaminopyrimidine.antibiotic.fluoroquinolone.antibiotic.glycylcycline.nitrofuran.antibiotic.tetracycline.antibiotic	Group	LM	3.30886233087642	0.619848754760938	40	15	4.94193162241956e-06	0.00010872249569323
aminoglycoside.antibiotic.cephalosporin.disinfecting.agents.and.antiseptics.macrolide.antibiotic.peptide.antibiotic.rifamycin.antibiotic.tetracycline.antibiotic	Group	LM	2.07262827381044	0.403962628515756	40	12	9.41160615362198e-06	0.000138036890253122
aminoglycoside.antibiotic.cephalosporin.disinfecting.agents.and.antiseptics.macrolide.antibiotic.peptide.antibiotic.rifamycin.antibiotic.tetracycline.antibiotic	Timepoint	D28	1.9416206007567	0.403962628515756	40	12	2.56136627914724e-05	0.00019312376586725
aminoglycoside.antibiotic.carbapenem.cephalosporin.fluoroquinolone.antibiotic.macrolide.antibiotic.penam.penem.peptide.antibiotic	Group	LM	1.83627747410362	0.382765530801542	40	11	2.63350589818977e-05	0.00019312376586725
aminoglycoside.antibiotic.carbapenem.cephalosporin.fluoroquinolone.antibiotic.macrolide.antibiotic.penam.penem.peptide.antibiotic	Timepoint	D28	1.83627747410362	0.382765530801542	40	11	2.63350589818976e-05	0.00019312376586725
fluoroquinolone.antibiotic.macrolide.antibiotic.penam	Timepoint	D28	1.22045397251935	0.265989028602941	40	11	4.99233386734704e-05	0.000244069655736967
aminocoumarin.antibiotic.carbapenem.peptide.antibiotic.rifamycin.antibiotic	Group	LM	1.31033509731903	0.285075019887573	40	10	4.87068485418009e-05	0.000244069655736967
aminocoumarin.antibiotic.carbapenem.peptide.antibiotic.rifamycin.antibiotic	Timepoint	D28	1.31033509731903	0.285075019887573	40	10	4.87068485418012e-05	0.000244069655736967
peptide.antibiotic	Group	LM	2.81621674993682	0.619592625833473	40	16	5.6920517988152e-05	0.000250450279147869
phosphonic.acid.antibiotic	Group	LM	1.03469494482404	0.233670251833567	40	9	8.12276034030834e-05	0.000274924196133513
phosphonic.acid.antibiotic	Timepoint	D28	1.03469494482404	0.233670251833567	40	9	8.12276034030834e-05	0.000274924196133513
cephalosporin.penam.penem	Group	LM	1.2175245160932	0.274910797868726	40	10	8.10349398462247e-05	0.000274924196133513
fluoroquinolone.antibiotic	Group	LM	1.0566535413993	0.251662808711179	40	9	0.000161792724343321	0.000508491419364724
carbapenem.cephalosporin.cephamycin.monobactam.penam.penem	Group	LM	0.940331012399799	0.229505618293884	40	9	0.000218802852146488	0.000601707843402843
carbapenem.cephalosporin.cephamycin.monobactam.penam.penem	Timepoint	D28	0.940331012399799	0.229505618293884	40	9	0.000218802852146488	0.000601707843402843
cephalosporin.penam.penem	Timepoint	D28	1.0940804233979	0.274910797868726	40	10	0.00030945482696588	0.00080094190508816
disinfecting.agents.and.antiseptics	Timepoint	D28	1.02830444752897	0.271604662490367	40	12	0.000544421861617229	0.00133080899506434
penam.penem	Group	LM	0.836030885142521	0.224572057439926	40	8	0.000653373375933943	0.00143742142705467
penam.penem	Timepoint	D28	0.836030885142521	0.224572057439926	40	8	0.000653373375933941	0.00143742142705467
fluoroquinolone.antibiotic	Timepoint	D28	0.917352213237037	0.251662808711179	40	9	0.000816047549024761	0.00170981391224236
diaminopyrimidine.antibiotic.fluoroquinolone.antibiotic.glycylcycline.nitrofuran.antibiotic.tetracycline.antibiotic	Timepoint	D28	2.21983336188296	0.619848754760938	40	15	0.000978759094562289	0.00195751818912458
lincosamide.antibiotic.macrolide.antibiotic.streptogramin.A.antibiotic.streptogramin.B.antibiotic.streptogramin.antibiotic	Group	LM	1.72211768068955	0.486738229215933	40	17	0.00110590192749791	0.00211563846999601
carbapenem.cephalosporin.cephamycin.penam	Group	LM	1.10285243020027	0.313551175603477	40	9	0.00117263038555758	0.00214982237352224
carbapenem.cephalosporin.cephamycin.disinfecting.agents.and.antiseptics.fluoroquinolone.antibiotic.glycylcycline.monobactam.penam.penem.phenicol.antibiotic.rifamycin.antibiotic.tetracycline.antibiotic	Group	LM	1.06587462746061	0.331228653794828	40	8	0.00268501357538683	0.00472562389268082
N.A	Timepoint	D28	0.920969373193317	0.292054646381863	40	9	0.00319686976234986	0.00520971368679237
lincosamide.antibiotic.pleuromutilin.antibiotic.streptogramin.A.antibiotic.streptogramin.B.antibiotic.streptogramin.antibiotic	Timepoint	D28	1.40335789347029	0.443826926305765	40	8	0.00312421909776631	0.00520971368679237
fluoroquinolone.antibiotic.macrolide.antibiotic.rifamycin.antibiotic	Timepoint	D28	1.21984201425032	0.416636262547972	40	12	0.00580969665878573	0.00912952332094901
peptide.antibiotic	Timepoint	D28	1.79245640563451	0.619592625833473	40	16	0.00636002516939797	0.00964969336046588
disinfecting.agents.and.antiseptics	Group	LM	0.627414823032943	0.271604662490367	40	12	0.0265675513245055	0.038965741942608
phenicol.antibiotic	Timepoint	D28	-0.517846684361185	0.255885783248759	40	7	0.0502636809294456	0.0713419987385679
carbapenem.cephalosporin.cephamycin.penam	Timepoint	D28	0.614650935679721	0.313551175603477	40	9	0.0575248382290075	0.0790966525648853
lincosamide.antibiotic.pleuromutilin.antibiotic.streptogramin.A.antibiotic.streptogramin.B.antibiotic.streptogramin.antibiotic	Group	LM	0.860407118208502	0.443826926305765	40	8	0.0602058280011053	0.080274437334807
N.A	Group	LM	0.507428431939708	0.292054646381863	40	9	0.0906276326317952	0.11471436109198
carbapenem.cephalosporin.cephamycin.disinfecting.agents.and.antiseptics.fluoroquinolone.antibiotic.glycylcycline.monobactam.penam.penem.phenicol.antibiotic.rifamycin.antibiotic.tetracycline.antibiotic	Timepoint	D28	0.574339905800748	0.331228653794828	40	8	0.0912500599595296	0.11471436109198
lincosamide.antibiotic.macrolide.antibiotic.streptogramin.A.antibiotic.streptogramin.B.antibiotic.streptogramin.antibiotic	Timepoint	D28	0.816523961771203	0.486738229215933	40	17	0.101865819874444	0.124502668735432
fluoroquinolone.antibiotic.macrolide.antibiotic.rifamycin.antibiotic	Group	LM	0.642519243793952	0.416636262547972	40	12	0.131545368073538	0.156432329600964
glycopeptide.antibiotic	Timepoint	D28	-1.22345250394088	0.805378233776221	40	16	0.137236300153855	0.158905189651832
aminoglycoside.antibiotic	Timepoint	D28	-0.278621499916465	0.271756167243409	40	8	0.311895785005634	0.35188242410892
tetracycline.antibiotic	Group	LM	-0.604708131886804	0.615063818123742	40	39	0.331912696924769	0.365103966617246
glycopeptide.antibiotic	Group	LM	0.739829020000129	0.805378233776221	40	16	0.364249167764095	0.390901545893175
aminoglycoside.antibiotic	Group	LM	-0.13903797276497	0.271756167243409	40	8	0.611951738964783	0.641092297963106
tetracycline.antibiotic	Timepoint	D28	0.166534838638125	0.615063818123742	40	39	0.78808019567529	0.806407642086343
phenicol.antibiotic	Group	LM	0.032882472517639	0.255885783248759	40	7	0.898445710858527	0.898445710858527
