feature	aminoglycoside.antibiotic	tetracycline.antibiotic	phenicol.antibiotic	lincosamide.antibiotic.macrolide.antibiotic.streptogramin.A.antibiotic.streptogramin.B.antibiotic.streptogramin.antibiotic	glycopeptide.antibiotic	peptide.antibiotic	fluoroquinolone.antibiotic	disinfecting.agents.and.antiseptics	fluoroquinolone.antibiotic.macrolide.antibiotic.penam	phosphonic.acid.antibiotic	N.A	lincosamide.antibiotic.pleuromutilin.antibiotic.streptogramin.A.antibiotic.streptogramin.B.antibiotic.streptogramin.antibiotic	diaminopyrimidine.antibiotic.fluoroquinolone.antibiotic.glycylcycline.nitrofuran.antibiotic.tetracycline.antibiotic	carbapenem.cephalosporin.cephamycin.monobactam.penam.penem	cephalosporin.penam.penem	carbapenem.cephalosporin.cephamycin.disinfecting.agents.and.antiseptics.fluoroquinolone.antibiotic.glycylcycline.monobactam.penam.penem.phenicol.antibiotic.rifamycin.antibiotic.tetracycline.antibiotic	aminocoumarin.antibiotic.carbapenem.peptide.antibiotic.rifamycin.antibiotic	carbapenem.cephalosporin.cephamycin.penam	penam.penem	aminoglycoside.antibiotic.cephalosporin.disinfecting.agents.and.antiseptics.macrolide.antibiotic.peptide.antibiotic.rifamycin.antibiotic.tetracycline.antibiotic	fluoroquinolone.antibiotic.macrolide.antibiotic.rifamycin.antibiotic	aminoglycoside.antibiotic.carbapenem.cephalosporin.fluoroquinolone.antibiotic.macrolide.antibiotic.penam.penem.peptide.antibiotic
S00IK-0006	0	90.1640272720073	1.29226915485339	0	44.2304134703589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0019	1.59565442792061	104.44686725099	3.06365650160758	17.2330678215426	22.7368481713857	3.06365650160758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0012	0	191.530885916812	1.41934598382215	0	0	0	0	0	0	0	0	0	0	0	1.41934598382215	0	0	0	0	0	0	0
S00IK-0029	0	87.427155550376	0	1.9657657955179	5.24204212138106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0034	0	15.491846042879	0	5.28131115098149	0	25.0523734085019	15.3081482637145	2.93406175054527	81.2509407843305	7.4627222785608	0	4.28024150866002	24.1868742566688	16.2501881568661	2.81669928052346	5.28131115098149	24.3752822352992	7.21779190634137	1.60039731847924	7.04174820130865	0	4.342411390807
S00IK-0026	0	105.595010481319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0028	0	106.697073200842	1.55273294584883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0013	0	42.8433861225181	0	0	0	1.19454703612573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0021	0	131.614917751548	0	0	0	0	0	2.04484973002565	0	0	0	0	0	0	0	0	0	0	0	0	8.99733881211285	0
S00IK-0007	2.14056629657474	77.2974955587727	0	0.770603866766907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0005	0	134.805250782521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0031	0	39.3658637508114	0	1.8577653943265	3.09627565721083	15.4813782860541	16.1544816897956	0	71.4525151664036	13.1943564937961	0	0	69.1950299046245	42.8715090998422	2.47702052576866	0	50.0167606164825	1.23851026288433	2.6975128831761	9.37729199040993	0	3.81873997722669
S00IK-0040	0	25.4810051756384	0	3.71044321783938	0	126.492382426342	11.7326267757767	3.06648199821436	140.114638995333	20.5320968576092	2.44823965986469	12.9142328550592	141.964783986898	62.2731728868147	1.34925207921432	0	70.0573194976665	0	10.0827261354331	32.7675504952049	15.61277405948	19.6765928218755
S00IK-0027	0	80.3409144160414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70380405776271	0	0
S00IK-0030	0	93.0576162408073	0	0	0	1.30392818798055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0022	0	52.9155863435621	0	0	0	0	0	3.25066495764907	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0015	0	0	0	0	35.1343013732936	0	0	0	0	0	0	0	0	0	0	0	0	1.09895574477742	0	0	0	0
S00IK-0008	0	35.8187976928235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0023	0	3.33749268747591	0	0	0	0	0	0	0	0	0.867547799107578	0.889057248672229	0	0	0	0	0	0	0	0	2.86869138904906	0
S00IK-0025	0	29.8514916486607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75032545793115	0
S00IK-0020	0	76.6760442621313	1.49148804046586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
