feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X3000518	Group	LM	1.45191415405765	0.265989028602941	40	11	3.39754433670204e-06	0.000244623192242547
X3003922	Group	LM	1.77045416105274	0.356804479434726	40	12	1.58640903830877e-05	0.000276238055056984
X3003923	Group	LM	1.40200844375407	0.280310261900841	40	13	1.40351430838968e-05	0.000276238055056984
X3004580	Group	LM	1.76662487674685	0.341392880748557	40	12	8.21086178167867e-06	0.000276238055056984
X3004580	Timepoint	D28	1.63561720369311	0.341392880748557	40	12	2.68564775749845e-05	0.000276238055056984
X3004588	Group	LM	1.83627747410362	0.382765530801542	40	11	2.63350589818977e-05	0.000276238055056984
X3004588	Timepoint	D28	1.83627747410362	0.382765530801542	40	11	2.63350589818976e-05	0.000276238055056984
X3003922	Timepoint	D28	1.67045416105274	0.356804479434726	40	12	3.75441364755326e-05	0.000326770944044534
X3005059	Group	LM	1.31033509731903	0.285075019887573	40	10	4.87068485418009e-05	0.000326770944044534
X3005059	Timepoint	D28	1.31033509731903	0.285075019887573	40	10	4.87068485418012e-05	0.000326770944044534
X3000518	Timepoint	D28	1.22045397251935	0.265989028602941	40	11	4.99233386734704e-05	0.000326770944044534
X3003209	Group	LM	1.25917215665848	0.281958851689967	40	9	7.24488492631106e-05	0.000401255165149535
X3003209	Timepoint	D28	1.25917215665848	0.281958851689967	40	9	7.24488492631106e-05	0.000401255165149535
X3007180	Group	LM	1.2175245160932	0.274910797868726	40	10	8.10349398462247e-05	0.000416751119209156
X3000516	Group	LM	1.0566535413993	0.251662808711179	40	9	0.000161792724343321	0.000776605076847942
X3004122	Group	LM	0.940331012399799	0.229505618293884	40	9	0.000218802852146488	0.000926694432620421
X3004122	Timepoint	D28	0.940331012399799	0.229505618293884	40	9	0.000218802852146488	0.000926694432620421
X3007180	Timepoint	D28	1.0940804233979	0.274910797868726	40	10	0.00030945482696588	0.00123781930786352
X3000191	Group	LM	-1.94006993162081	0.493023346864634	40	19	0.000352836563085825	0.00133706487064102
X3003923	Timepoint	D28	1.05647160557603	0.280310261900841	40	13	0.000571995829657624	0.00205918498676745
X3002459	Group	LM	0.836030885142521	0.224572057439926	40	8	0.000653373375933943	0.0021383128666929
X3002459	Timepoint	D28	0.836030885142521	0.224572057439926	40	8	0.000653373375933941	0.0021383128666929
X3000516	Timepoint	D28	0.917352213237037	0.251662808711179	40	9	0.000816047549024761	0.00255458363172969
X3000375	Group	LM	1.72211768068955	0.486738229215933	40	17	0.00110590192749791	0.00331770578249374
X3001855	Group	LM	1.10285243020027	0.313551175603477	40	9	0.00117263038555758	0.00337717551040584
X3000823	Group	LM	0.906200640989545	0.261713936616468	40	8	0.00136741714682826	0.00378669363737056
X3005053	Group	LM	1.07903845896856	0.32546816412303	40	10	0.00205743987296108	0.0052905596733285
X3005053	Timepoint	D28	1.07903845896856	0.32546816412303	40	10	0.00205743987296108	0.0052905596733285
X3000300	Timepoint	D28	1.40335789347029	0.443826926305765	40	8	0.00312421909776631	0.00767248742963967
X3002875	Timepoint	D28	0.920969373193317	0.292054646381863	40	9	0.00319686976234986	0.00767248742963967
X3003948	Timepoint	D28	1.00162858186153	0.335665771417314	40	11	0.00501628554313534	0.0116507277130885
