feature	X3000190	X3007127	X3003578	X3000516	X3002970	X3002966	X3000375	X3002922	X3002705	X3000005	X3003070	X3000300	X3003922	X3003923	X3002804	X3000196	X3000823	X3002647	X3002930	X3005059	X3003209	X3007180	X3002459	X3003551	X3000518	X3004580	X3004583	X3001855	X3004122	X3000191	X3000567	X3005053	X3003949	X3004588	X3002875	X3003948
S00IK-0006	46.1524698161924	0	0	0	0	0	0	0	1.29226915485339	9.23049396323849	27.0474939387919	0	0	0	0	28.1949633786194	0	0	2.58453830970678	0	0	0	0	0	0	0	0	0	0	14.910797940616	0.905796136579478	0	0	0	0	0
S00IK-0019	32.8248910886526	0	3.06365650160758	0	0	0	17.2330678215426	0	3.06365650160758	4.78696328376184	12.7652354233649	0	0	0	0	34.53576419994	0	1.59565442792061	3.06365650160758	0	0	0	0	0	0	0	0	0	0	35.3498827108566	1.73632925154082	0	0	0	0	0
S00IK-0012	20.2763711974593	1.41934598382215	0	0	0	0	0	0	1.41934598382215	0	0	0	0	0	0	6.06447829451283	0	0	0	0	0	1.41934598382215	0	0	0	0	0	0	0	163.770690441017	0	0	0	0	0	0
S00IK-0029	18.7215790049323	0	0	0	0	0	1.9657657955179	0	0	0	0	0	0	0	0	8.22047514489302	0	0	5.24204212138106	0	0	0	0	0	0	0	0	0	0	60.4851014005506	0	0	0	0	0	0
S00IK-0034	7.04174820130865	0	0	15.3081482637145	0	0	5.28131115098149	0	0	0	0	4.28024150866002	3.06162965274289	21.1252446039259	4.40109262581791	8.45009784157038	5.28131115098149	0	0	24.3752822352992	3.06162965274289	2.81669928052346	1.60039731847924	2.93406175054527	81.2509407843305	7.04174820130865	0	7.21779190634137	16.2501881568661	0	0	8.80218525163582	0	4.342411390807	0	0
S00IK-0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57644704071812	0	0	0	0	0	0	0	0	0	0	0	0	0	101.018563440601	0	0	0	0	0	0
S00IK-0028	29.5758656352157	0	0	0	0	0	0	0	1.55273294584883	0	0	0	0	0	0	4.86993514834405	0	0	0	0	0	0	0	0	0	0	0	0	0	71.664597500715	0.586674916567567	0	0	0	0	0
S00IK-0013	22.7532768785853	0	1.19454703612573	0	0	0	0	0	0	0	0	0	0	0	0	20.0901092439327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S00IK-0021	7.49778234342737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99911293737095	0	0	0	0	0	0	0	0	0	0	0	0	0	121.11802247075	0	0	0	0	0	8.99733881211285
S00IK-0007	0	0	0	0	0	0	0.770603866766907	0	0	0	0	0	0	0	0	6.16483093413525	0	2.14056629657474	0	0	0	0	0	0	0	0	0	0	0	71.1326646246375	0	0	0	0	0	0
S00IK-0005	20.4265529991634	0.953239139960957	0	0	0	0	0	0	0	0	0	0	0	0	0	25.434153416231	0	0	0	0	0	0	0	0	0	0	0	0	0	87.9913052271652	0	0	0	0	0	0
S00IK-0031	6.19255131442165	0	0	16.1544816897956	0	0	1.8577653943265	3.09627565721083	0	0	0	0	13.4620680748297	55.7329618297948	1.93517228575677	18.014694732863	0	0	0	50.0167606164825	11.2591842080394	2.47702052576866	2.6975128831761	0	71.4525151664036	4.95404105153732	4.42325093887261	1.23851026288433	42.8715090998422	14.2905030332807	0.868114670246026	15.4813782860541	0	3.81873997722669	0	0
S00IK-0040	9.63751485153085	0	0	11.7326267757767	0	0	3.71044321783938	0	0	0	0	12.9142328550592	20.5320968576092	121.432687129289	0	15.8434903241075	0	0	0	70.0573194976665	20.5320968576092	1.34925207921432	10.0827261354331	3.06648199821436	140.114638995333	13.4925207921432	19.2750297030617	0	62.2731728868147	0	0	126.492382426342	4.81875742576543	19.6765928218755	2.44823965986469	10.7940166337146
S00IK-0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70380405776271	0	0	0	0	0	0	0	0	0	1.70380405776271	0	0	0	78.6371103582786	0	0	0	0	0	0
S00IK-0030	0	0	1.30392818798055	0	0	0	0	0	0	0	0	0	0	0	0	2.78566476523117	0	0	0	0	0	0	0	0	0	0	0	0	0	90.2719514755762	0	0	0	0	0	0
S00IK-0022	3.40545852706093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.5101278165012	0	0	0	0	0	0
