feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
antibiotic.inactivation	Group	LM	2.85995858457995	0.607183213968953	40	20	3.44083298800597e-05	0.000252350822578057
antibiotic.efflux	Group	LM	4.05676304091165	0.864063956842628	40	30	3.6050117511151e-05	0.000252350822578057
antibiotic.efflux	Timepoint	D28	3.62847810416197	0.864063956842628	40	30	0.000161489358142448	0.000612647986010167
reduced.permeability.to.antibiotic	Group	LM	0.940331012399799	0.229505618293884	40	9	0.000218802852146488	0.000612647986010167
reduced.permeability.to.antibiotic	Timepoint	D28	0.940331012399799	0.229505618293884	40	9	0.000218802852146488	0.000612647986010167
antibiotic.target.alteration	Group	LM	3.22886474218401	0.870275914381083	40	24	0.000677485651980525	0.00158079985462123
antibiotic.target.replacement	Timepoint	D28	1.29848774900507	0.386531655528758	40	10	0.00182238817641081	0.00364477635282162
antibiotic.efflux.reduced.permeability.to.antibiotic	Group	LM	1.06587462746061	0.331228653794828	40	8	0.00268501357538683	0.00469877375692695
antibiotic.inactivation	Timepoint	D28	1.67685778131552	0.607183213968953	40	20	0.00889910558582472	0.0138430531335051
antibiotic.target.replacement	Group	LM	0.88494680775146	0.386531655528758	40	10	0.0278555496463223	0.0389977695048512
antibiotic.efflux.reduced.permeability.to.antibiotic	Timepoint	D28	0.574339905800748	0.331228653794828	40	8	0.0912500599595296	0.116136439948492
antibiotic.target.protection	Group	LM	-0.633665130756964	0.588080599054584	40	39	0.288225934530034	0.33626359028504
antibiotic.target.protection	Timepoint	D28	0.336843382992652	0.588080599054584	40	39	0.570255378093297	0.570255378093297
antibiotic.target.alteration	Timepoint	D28	0.521331645240896	0.870275914381083	40	24	0.552795437964294	0.570255378093297
