feature	antibiotic.inactivation	antibiotic.efflux	antibiotic.target.protection	antibiotic.target.alteration	antibiotic.target.replacement	antibiotic.efflux.reduced.permeability.to.antibiotic	reduced.permeability.to.antibiotic
S00IK-0006	0	2.19806529143287	89.2582311354278	44.2304134703589	0	0	0
S00IK-0019	1.59565442792061	4.7999857531484	102.710537999449	43.0335724945359	0	0	0
S00IK-0012	2.83869196764431	1.41934598382215	191.530885916812	0	0	0	0
S00IK-0029	0	0	87.427155550376	7.20780791689896	0	0	0
S00IK-0034	19.0976107839049	175.68965503954	19.7720875515391	30.3336845594834	0	5.28131115098149	16.2501881568661
S00IK-0026	0	0	105.595010481319	0	0	0	0
S00IK-0028	0	2.13940786241639	106.110398284275	0	0	0	0
S00IK-0013	0	0	42.8433861225181	1.19454703612573	0	0	0
S00IK-0021	0	11.0421885421385	131.614917751548	0	0	0	0
S00IK-0007	2.14056629657474	0	77.2974955587727	0.770603866766907	0	0	0
S00IK-0005	0.953239139960957	0	134.805250782521	0	0	0	0
S00IK-0031	19.6074001656252	220.882934015189	38.4977490805654	20.4354193375915	0	0	42.8715090998422
S00IK-0040	31.9640750722566	435.843137587937	38.3952380306976	130.202825644182	10.2323862707165	0	62.2731728868147
S00IK-0027	0	2.77763014458794	80.3409144160414	0	0	0	0
S00IK-0030	0	0	93.0576162408073	1.30392818798055	0	0	0
S00IK-0022	0	3.25066495764907	52.9155863435621	0	0	0	0
S00IK-0015	1.09895574477742	0	0	35.1343013732936	0	0	0
S00IK-0008	0	0	35.8187976928235	0	0	0	0
S00IK-0023	0	2.86869138904906	4.22654993614813	0	0.867547799107578	0	0
S00IK-0025	0	3.75032545793115	29.8514916486607	0	0	0	0
S00IK-0020	0.771459331275445	1.49148804046586	76.6760442621313	0	0	0	0
S00IK-0033	25.4241984584266	259.786796311991	6.37795192203121	108.444052354773	0.932614380658586	5.78220916008324	17.7914128002561
S00IK-0014	0	2.43949281947497	38.7310063572154	6.2675043562289	0	0	0
S00IK-0016	0	6.47541225834145	142.910108734237	0	0	0	0
S00IK-0032	26.4870801159609	174.066062162416	34.2541302530293	70.7243186433003	1.4594327775572	3.01616107361822	13.9207434166995
S00IK-0036	10.190810182148	83.9923916199416	323.764586700922	19.5323861824503	1.02729941352298	2.12308545461417	0
S00IK-0001	7.90620956117056	0	100.783994333779	11.9443602109324	0	0	0
S00IK-0035	29.4638989601909	323.561771955327	64.8038552436326	17.1685731150836	0	4.12126169624373	38.0424156576343
S00IK-0009	0	3.72801498767487	54.6687674814105	30.357577885016	0	0	0
S00IK-0018	8.10127081070648	121.685121654435	1.25734009055057	110.827745934557	0.638809884715207	11.1484154695483	0
S00IK-0002	3.60708410524491	0.387484957223672	51.2233887583739	3.46795637724333	0	0	0
S00IK-0010	0	4.09785094354042	51.2556594207913	0	0	0	0
S00IK-0003	0	3.43833584655054	41.0537300078134	0	0	0	0
S00IK-0037	40.6880103213485	323.854097493364	120.218024108543	52.5220942011697	2.92890882213112	17.486670449168	55.8745682991166
S00IK-0024	0	7.5783242585304	14.2900567122755	0	4.13334945890736	0	0
S00IK-0017	0	0	8.43671044212404	23.3487304911012	0	1.47776775260134	0
S00IK-0004	1.28434357847014	18.4945475299699	67.339121775788	19.511637360591	0	0	0
S00IK-0038	14.0886863209293	74.2463440359846	54.9862544297626	10.8317865420106	14.3253662856487	0	14.3253662856487
S00IK-0039	20.8906158252953	318.207472562457	192.245749035809	30.3763115660077	2.11257734244238	0	53.735300607765
S00IK-0011	0	17.3314550657763	46.1872023311338	0	0	0	0
