#OTU ID	S00IK-0001_S1-taxa	S00IK-0002_S2-taxa	S00IK-0003_S3-taxa	S00IK-0004_S4-taxa	S00IK-0005_S5-taxa	S00IK-0006_S6-taxa	S00IK-0007_S7-taxa	S00IK-0008_S8-taxa	S00IK-0009_S9-taxa	S00IK-0010_S10-taxa	S00IK-0011_S11-taxa	S00IK-0012_S12-taxa	S00IK-0013_S13-taxa	S00IK-0014_S14-taxa	S00IK-0015_S15-taxa	S00IK-0016_S16-taxa	S00IK-0017_S17-taxa	S00IK-0018_S18-taxa	S00IK-0019_S19-taxa	S00IK-0020_S20-taxa	S00IK-0021_S21-taxa	S00IK-0022_S22-taxa	S00IK-0023_S23-taxa	S00IK-0024_S24-taxa	S00IK-0025_S25-taxa	S00IK-0026_S26-taxa	S00IK-0027_S27-taxa	S00IK-0028_S28-taxa	S00IK-0029_S29-taxa	S00IK-0030_S30-taxa	S00IK-0031_S31-taxa	S00IK-0032_S32-taxa	S00IK-0033_S33-taxa	S00IK-0034_S34-taxa	S00IK-0035_S35-taxa	S00IK-0036_S36-taxa	S00IK-0037_S37-taxa	S00IK-0038_S38-taxa	S00IK-0039_S39-taxa	S00IK-0040_S40-taxa	Consensus Lineage
2	15244.0	21701.0	11280.0	13611.0	12729.0	19313.0	11948.0	11067.0	16830.0	12891.0	12663.0	9051.0	12355.0	18205.0	5982.0	19640.0	15063.0	5240.0	16893.0	17643.0	5289.0	4892.0	5064.0	6739.0	3818.0	5306.0	4167.0	5512.0	3280.0	6388.0	5622.0	6087.0	4212.0	4814.0	4427.0	6633.0	5093.0	6565.0	8416.0	5188.0	k__Bacteria; p__; c__; o__; f__; g__; s__
976	3551.0	4860.0	1680.0	2353.0	4051.0	2487.0	4281.0	4032.0	2716.0	2024.0	1847.0	3344.0	2278.0	2317.0	2707.0	2401.0	1985.0	1468.0	3290.0	1268.0	1889.0	1796.0	1765.0	3230.0	1467.0	1776.0	1328.0	1575.0	802.0	1672.0	2723.0	3112.0	2405.0	2589.0	1336.0	1343.0	1982.0	2060.0	2543.0	2451.0	k__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__
200643	107.0	141.0	59.0	58.0	94.0	63.0	106.0	113.0	95.0	68.0	56.0	84.0	56.0	93.0	76.0	66.0	57.0	27.0	87.0	46.0	53.0	50.0	50.0	78.0	34.0	60.0	45.0	56.0	20.0	42.0	101.0	110.0	84.0	107.0	69.0	54.0	72.0	119.0	85.0	96.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__; f__; g__; s__
171549	33778.0	39595.0	20072.0	24325.0	69138.0	15318.0	52177.0	79342.0	24800.0	31848.0	29525.0	38285.0	41994.0	19802.0	47668.0	38937.0	30557.0	24078.0	18803.0	9063.0	27229.0	26441.0	34142.0	64642.0	20279.0	24043.0	17451.0	23129.0	11007.0	22039.0	54513.0	63190.0	48649.0	53207.0	26118.0	24171.0	39691.0	45658.0	47084.0	51091.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
2005473	6190.0	5458.0	3324.0	1633.0	2550.0	2796.0	3961.0	3175.0	5459.0	2266.0	3472.0	3219.0	1885.0	3212.0	3796.0	902.0	2226.0	2341.0	3659.0	1730.0	2447.0	1396.0	1292.0	1665.0	743.0	1443.0	919.0	2475.0	449.0	548.0	1468.0	1407.0	1124.0	1273.0	680.0	660.0	963.0	960.0	1227.0	1061.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__; s__
1918540	1127.0	953.0	554.0	295.0	198.0	520.0	627.0	340.0	978.0	311.0	608.0	542.0	222.0	469.0	557.0	32.0	333.0	340.0	708.0	303.0	442.0	197.0	100.0	64.0	133.0	226.0	136.0	377.0	68.0	43.0	60.0	47.0	42.0	50.0	46.0	54.0	27.0	37.0	77.0	18.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__
2530390	970741.0	262844.0	674157.0	227548.0	270374.0	110715.0	599548.0	463723.0	909054.0	317853.0	886394.0	530398.0	328463.0	232684.0	679130.0	41067.0	337022.0	376095.0	166869.0	160564.0	573828.0	258829.0	102074.0	75770.0	142328.0	268552.0	164256.0	594014.0	87407.0	50824.0	55666.0	18321.0	11404.0	32591.0	27320.0	14909.0	15845.0	24818.0	12537.0	11312.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__gordoncarteri
1796646	20999.0	23664.0	9912.0	3295.0	4651.0	14443.0	6847.0	6036.0	14595.0	7186.0	5606.0	5701.0	3596.0	12528.0	7968.0	2185.0	5722.0	5688.0	16068.0	6766.0	3645.0	2637.0	3460.0	4353.0	1280.0	2904.0	1478.0	2801.0	937.0	1071.0	3298.0	3743.0	2852.0	3227.0	1738.0	1657.0	2441.0	2230.0	3552.0	2592.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__intestinale
2518495	3340.0	3617.0	1065.0	770.0	938.0	2138.0	1832.0	667.0	2840.0	813.0	809.0	1371.0	464.0	2406.0	1122.0	321.0	846.0	881.0	2727.0	1164.0	591.0	512.0	373.0	450.0	299.0	521.0	314.0	580.0	192.0	311.0	349.0	380.0	303.0	328.0	184.0	211.0	269.0	265.0	396.0	287.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Duncaniella; s__
2518971	38067.0	24522.0	20107.0	11280.0	16765.0	13410.0	25952.0	17808.0	32845.0	12341.0	22844.0	20696.0	11982.0	17017.0	21391.0	5589.0	12768.0	13455.0	16569.0	9037.0	17168.0	10865.0	6782.0	9518.0	7289.0	11182.0	7738.0	17357.0	4359.0	6416.0	7199.0	7459.0	5624.0	6719.0	3444.0	3259.0	4675.0	4961.0	5978.0	5735.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Duncaniella; s__dubosii
