"Genus","ARO_Accession","Resistance_Mechanism","Group","statistic","p.value","estimate","qval"
"Fusarium","3007180","antibiotic inactivation","LM",306,0.00350474436797717,-0.854545454545454,0.0735996317275206
"Torulaspora","3000196","antibiotic target protection","CON",300,0.0068111327718268,-0.818181818181818,0.0613001949464412
"Talaromyces","3000375","antibiotic target alteration","LM",298,0.00823557082285114,-0.806060606060606,0.122338309063398
"Eremothecium","3000196","antibiotic target protection","CON",292,0.0136717821032753,-0.76969696969697,0.123046038929477
"Eremothecium","3003923","antibiotic efflux","LM",284,0.0241945875284697,-0.721212121212121,0.341557243251302
"Pichia","3000375","antibiotic target alteration","LM",284,0.0241945875284697,-0.721212121212121,0.11555930026698
"Tetrapisispora","3007180","antibiotic inactivation","LM",284,0.0241945875284697,-0.721212121212121,0.413504797470514
"Yarrowia","3000196","antibiotic target protection","CON",282,0.0275141191111855,-0.709090909090909,0.247627072000669
"Eremothecium","3000518","antibiotic efflux","LM",278,0.0350915379341638,-0.684848484848485,0.341557243251302
"Fusarium","3000196","antibiotic target protection","LM",278,0.0350915379341638,-0.684848484848485,0.36846114830872
"Pichia","3000300","antibiotic target protection","CON",277.752597079394,0.0293766834796138,-0.683349073208448,0.132195075658262
"Pichia","3002875","antibiotic target replacement","CON",277.752597079394,0.0293766834796138,-0.683349073208448,0.132195075658262
"Tetrapisispora","3000300","antibiotic target protection","CON",277.752597079394,0.0293766834796138,-0.683349073208448,0.132195075658262
"Tetrapisispora","3002875","antibiotic target replacement","CON",277.752597079394,0.0293766834796138,-0.683349073208448,0.132195075658262
"Candida","3000196","antibiotic target protection","CON",274,0.0440265528478426,-0.660606060606061,0.36450875645134
"Fusarium","3000191","antibiotic target protection","CON",273.328767883788,0.0392043863325568,-0.65653798717447,0.11761315899767
"Debaryomyces","3005059","antibiotic efflux","LM",270,0.0544450679375418,-0.636363636363636,0.571673213344189
"Candida","3003551","antibiotic efflux","LM",268.175390914319,0.05319086574442,-0.625305399480722,0.767758687912469
"Tetrapisispora","3000196","antibiotic target protection","CON",268,0.0602489828244724,-0.624242424242424,0.180746948473417
"Eremothecium","3002459","antibiotic inactivation","LM",267.310503001355,0.0558226334022219,-0.620063654553666,0.341557243251302
"Candida","3007180","antibiotic inactivation","LM",264,0.0731198750392827,-0.6,0.767758687912469
"Nakaseomyces","3000300","antibiotic target protection","CON",262.052868372137,0.0736814558838431,-0.588199202255373,0.221044367651529
"Nakaseomyces","3002875","antibiotic target replacement","CON",262.052868372137,0.0736814558838431,-0.588199202255373,0.221044367651529
"Talaromyces","3007180","antibiotic inactivation","LM",262,0.0802150639781515,-0.587878787878788,0.263304129784093
"Torulaspora","3004122","reduced permeability to antibiotic","LM",260,0.0877680432613641,-0.575757575757576,0.821100701875563
"Eremothecium","3004588","antibiotic efflux","LM",258,0.0957915691435819,-0.563636363636364,0.341557243251302
"Torulaspora","3000190","antibiotic target protection","CON",257.806249789548,0.0905423460461193,-0.562462119936655,0.36450875645134
"Eremothecium","3000300","antibiotic target protection","LM",256.826097913744,0.0947551671142035,-0.556521805537843,0.341557243251302
"Eremothecium","3003948","antibiotic efflux","LM",255.672772782892,0.0998696630009896,-0.549531956259951,0.341557243251302
"Pichia","3000196","antibiotic target protection","CON",254,0.113298067042129,-0.539393939393939,0.339894201126387
"Pyricularia","3000196","antibiotic target protection","CON",254,0.113298067042129,-0.539393939393939,0.29300322578963
"Debaryomyces","3000518","antibiotic efflux","LM",254,0.113298067042129,-0.539393939393939,0.793086469294903
"Eremothecium","3003551","antibiotic efflux","LM",252.699082277171,0.113852414417101,-0.531509589558614,0.341557243251302
"Talaromyces","3003551","antibiotic efflux","LM",252.699082277171,0.113852414417101,-0.531509589558614,0.270646414793642
"Fusarium","3000375","antibiotic target alteration","LM",252,0.12280318761783,-0.527272727272727,0.467825739335171
"Candida","3000375","antibiotic target alteration","CON",251.16843969807,0.121502918817113,-0.522232967867094,0.36450875645134
"Debaryomyces","3000375","antibiotic target alteration","CON",251.16843969807,0.121502918817113,-0.522232967867094,0.412009521515099
"Fusarium","3004580","antibiotic efflux","CON",251.16843969807,0.121502918817113,-0.522232967867094,0.218705253870804
"Pyricularia","3000375","antibiotic target alteration","CON",251.16843969807,0.121502918817113,-0.522232967867094,0.29300322578963
"Talaromyces","3000196","antibiotic target protection","LM",250,0.132823060175966,-0.515151515151515,0.278928426369528
"Pyricularia","3003948","antibiotic efflux","CON",249.495106822366,0.130223655906502,-0.512091556499189,0.29300322578963
"Yarrowia","3000190","antibiotic target protection","CON",249.272341762923,0.131412925043708,-0.510741465229836,0.591358162696686
