"Genus","ARO_Accession","Resistance_Mechanism","Association","statistic","p.value","estimate","qval","Group","label.lm","label.con"
"Kleczkowskavirus","3005053","antibiotic target alteration","Up",308,0.00268141517103887,-0.866666666666667,0.0563097185918163,"LM","LM: ρ=-0.87, q=0.056",NA
"Nebovirus","3000300","antibiotic target protection","Down",285.715207369753,0.0161765277312125,-0.731607317392445,0.184911521960939,"LM","LM: ρ=-0.73, q=0.18",NA
"Pegunavirus","3000196","antibiotic target protection","Down",284,0.0241945875284697,-0.721212121212121,0.508086338097864,"LM","LM: ρ=-0.72, q=0.51",NA
"Nebovirus","3002875","antibiotic target replacement","Down",281.588191733181,0.022344120530426,-0.706595101413216,0.184911521960939,"LM","LM: ρ=-0.71, q=0.18",NA
"Cepunavirus","3000300","antibiotic target protection","Down",277.752597079394,0.0293766834796138,-0.683349073208448,0.132195075658262,"CON",NA,"CON: ρ=-0.68, q=0.13"
"Cepunavirus","3002875","antibiotic target replacement","Down",277.752597079394,0.0293766834796138,-0.683349073208448,0.132195075658262,"CON",NA,"CON: ρ=-0.68, q=0.13"
"Oryzopoxvirus","3000300","antibiotic target protection","Down",277.752597079394,0.0293766834796138,-0.683349073208448,0.132195075658262,"CON",NA,"CON: ρ=-0.68, q=0.13"
"Oryzopoxvirus","3002875","antibiotic target replacement","Down",277.752597079394,0.0293766834796138,-0.683349073208448,0.132195075658262,"CON",NA,"CON: ρ=-0.68, q=0.13"
"Nebovirus","3003551","antibiotic efflux","Down",277.461176096608,0.0299657931802122,-0.681582885433987,0.184911521960939,"LM","LM: ρ=-0.68, q=0.18",NA
"Nebovirus","3003948","antibiotic efflux","Down",274.874065842798,0.035552270160944,-0.665903429350293,0.184911521960939,"LM","LM: ρ=-0.67, q=0.18",NA
"Nebovirus","3005053","antibiotic target alteration","Down",274,0.0440265528478426,-0.660606060606061,0.184911521960939,"LM","LM: ρ=-0.66, q=0.18",NA
"Deltaentomopoxvirus","3000191","antibiotic target protection","Up",273.328767883788,0.0392043863325568,-0.65653798717447,0.273381567338505,"CON",NA,"CON: ρ=-0.66, q=0.27"
"Parapoxvirus","3003948","antibiotic efflux","Up",272.740588836142,0.0406583713434465,-0.652973265673588,0.387468753418478,"LM","LM: ρ=-0.65, q=0.39",NA
"Kayvirus","3005053","antibiotic target alteration","Up",270,0.0544450679375418,-0.636363636363636,0.698460162281865,"LM","LM: ρ=-0.64, q=0.7",NA
"Deltaentomopoxvirus","3000300","antibiotic target protection","Up",268.175390914319,0.05319086574442,-0.625305399480722,0.486605071071077,"LM","LM: ρ=-0.63, q=0.49",NA
"Kleczkowskavirus","3003209","antibiotic inactivation","Up",268,0.0602489828244724,-0.624242424242424,0.421742879771307,"LM","LM: ρ=-0.62, q=0.42",NA
"Vividuovirus","3004588","antibiotic efflux","Up",268,0.0602489828244724,-0.624242424242424,0.40420966249856,"LM","LM: ρ=-0.62, q=0.4",NA
"Nebovirus","3004580","antibiotic efflux","Down",266,0.0664691374895168,-0.612121212121212,0.232641981213309,"LM","LM: ρ=-0.61, q=0.23",NA
"Pegunavirus","3000191","antibiotic target protection","Down",264.301370560139,0.0656459921362531,-0.601826488243264,0.218705253870804,"CON",NA,"CON: ρ=-0.6, q=0.22"
"Deltaentomopoxvirus","3000516","antibiotic efflux","Up",264.301370560139,0.0656459921362531,-0.601826488243264,0.486605071071077,"LM","LM: ρ=-0.6, q=0.49",NA
"Kayvirus","3002875","antibiotic target replacement","Up",264.048375277746,0.0665200154554157,-0.600293183501493,0.698460162281865,"LM","LM: ρ=-0.6, q=0.7",NA
"Pegunavirus","3003551","antibiotic efflux","Down",264.048375277746,0.0665200154554157,-0.600293183501493,0.613402494890942,"LM","LM: ρ=-0.6, q=0.61",NA
"Deltaentomopoxvirus","3001855","antibiotic inactivation","Up",263.197576218333,0.0695150101530111,-0.595136825565653,0.486605071071077,"LM","LM: ρ=-0.6, q=0.49",NA
"Nebovirus","3003922","antibiotic efflux","Down",262,0.0802150639781515,-0.587878787878788,0.240645191934454,"LM","LM: ρ=-0.59, q=0.24",NA
"Bequatrovirus","3001855","antibiotic inactivation","Up",261.172883925171,0.0769923166663923,-0.582865963182856,1,"LM","LM: ρ=-0.58, q=1",NA
"Vividuovirus","3001855","antibiotic inactivation","Up",261.172883925171,0.0769923166663923,-0.582865963182856,0.40420966249856,"LM","LM: ρ=-0.58, q=0.4",NA
"Parapoxvirus","3003922","antibiotic efflux","Up",260,0.0877680432613641,-0.575757575757576,0.387468753418478,"LM","LM: ρ=-0.58, q=0.39",NA
"Nebovirus","3000516","antibiotic efflux","Down",256.277017383562,0.0971687909583605,-0.553194044748859,0.243361449267229,"LM","LM: ρ=-0.55, q=0.24",NA
"Nebovirus","3003923","antibiotic efflux","Down",256,0.10429776397167,-0.551515151515151,0.243361449267229,"LM","LM: ρ=-0.55, q=0.24",NA
"Parapoxvirus","3002875","antibiotic target replacement","Up",255.794344004601,0.0993224803649861,-0.550268751543036,0.387468753418478,"LM","LM: ρ=-0.55, q=0.39",NA
"Kleczkowskavirus","3003922","antibiotic efflux","Up",254,0.113298067042129,-0.539393939393939,0.594814851971177,"LM","LM: ρ=-0.54, q=0.59",NA
"Pegunavirus","3007180","antibiotic inactivation","Down",254,0.113298067042129,-0.539393939393939,0.613402494890942,"LM","LM: ρ=-0.54, q=0.61",NA
"Vividuovirus","3005059","antibiotic efflux","Up",254,0.113298067042129,-0.539393939393939,0.463328018199542,"LM","LM: ρ=-0.54, q=0.46",NA
"Parapoxvirus","3003551","antibiotic efflux","Up",253.730836186314,0.108870020254228,-0.537762643553421,0.387468753418478,"LM","LM: ρ=-0.54, q=0.39",NA
"Nebovirus","3000300","antibiotic target protection","Down",252.062131922064,0.11699832200012,-0.527649284376143,0.263246224500271,"CON",NA,"CON: ρ=-0.53, q=0.26"
"Nebovirus","3002875","antibiotic target replacement","Down",252.062131922064,0.11699832200012,-0.527649284376143,0.263246224500271,"CON",NA,"CON: ρ=-0.53, q=0.26"
"Nebovirus","3004122","reduced permeability to antibiotic","Down",252,0.12280318761783,-0.527272727272727,0.257886693997442,"LM","LM: ρ=-0.53, q=0.26",NA
"Parapoxvirus","3003923","antibiotic efflux","Up",252,0.12280318761783,-0.527272727272727,0.387468753418478,"LM","LM: ρ=-0.53, q=0.39",NA
"Pegunavirus","3000375","antibiotic target alteration","Down",251.16843969807,0.121502918817113,-0.522232967867094,0.218705253870804,"CON",NA,"CON: ρ=-0.52, q=0.22"
"Vividuovirus","3000191","antibiotic target protection","Up",250.258752501129,0.12619736664662,-0.516719712128055,0.283944074954895,"CON",NA,"CON: ρ=-0.52, q=0.28"
"Mimivirus","3005059","antibiotic efflux","Up",250,0.132823060175966,-0.515151515151515,0.641370696909584,"LM","LM: ρ=-0.52, q=0.64",NA
"Parapoxvirus","3004580","antibiotic efflux","Up",250,0.132823060175966,-0.515151515151515,0.387468753418478,"LM","LM: ρ=-0.52, q=0.39",NA
"Deltaentomopoxvirus","3004580","antibiotic efflux","Up",248,0.14336680194002,-0.503030303030303,0.676545641623451,"LM","LM: ρ=-0.5, q=0.68",NA
"Kayvirus","3004580","antibiotic efflux","Up",248,0.14336680194002,-0.503030303030303,0.769720193875235,"LM","LM: ρ=-0.5, q=0.77",NA
"Cepunavirus","3000190","antibiotic target protection","Down",247.000037873041,0.143926546598004,-0.496969926503278,0.886511860281654,"LM","LM: ρ=-0.5, q=0.89",NA
"Vividuovirus","3004580","antibiotic efflux","Up",246,0.154442672733181,-0.490909090909091,0.463328018199542,"LM","LM: ρ=-0.49, q=0.46",NA
"Kleczkowskavirus","3002875","antibiotic target replacement","Up",245.476804913169,0.152707308787996,-0.487738211594963,0.634815579453097,"LM","LM: ρ=-0.49, q=0.63",NA
"Pegunavirus","3000300","antibiotic target protection","Down",245.476804913169,0.152707308787996,-0.487738211594963,0.613402494890942,"LM","LM: ρ=-0.49, q=0.61",NA
"Parapoxvirus","3005053","antibiotic target alteration","Up",244,0.166058037179348,-0.478787878787879,0.387468753418478,"LM","LM: ρ=-0.48, q=0.39",NA
"Parapoxvirus","3000300","antibiotic target protection","Up",243.413297094883,0.165108126044703,-0.475232103605349,0.387468753418478,"LM","LM: ρ=-0.48, q=0.39",NA
"Pegunavirus","3000516","antibiotic efflux","Down",243.237443471624,0.166191928081555,-0.47416632407045,0.613402494890942,"LM","LM: ρ=-0.47, q=0.61",NA
"Vespertilionpoxvirus","3002459","antibiotic inactivation","Up",243.237443471624,0.166191928081555,-0.47416632407045,0.665979192846838,"LM","LM: ρ=-0.47, q=0.67",NA
"Cepunavirus","3001855","antibiotic inactivation","Down",242.950653286718,0.167968555411679,-0.472428201737684,0.886511860281654,"LM","LM: ρ=-0.47, q=0.89",NA
"Kayvirus","3001855","antibiotic inactivation","Up",242.950653286718,0.167968555411679,-0.472428201737684,0.769720193875235,"LM","LM: ρ=-0.47, q=0.77",NA
"Vespertilionpoxvirus","3001855","antibiotic inactivation","Up",242.950653286718,0.167968555411679,-0.472428201737684,0.665979192846838,"LM","LM: ρ=-0.47, q=0.67",NA
"Deltaentomopoxvirus","3003551","antibiotic efflux","Up",241.349789276596,0.178093509881046,-0.462725995615735,0.676545641623451,"LM","LM: ρ=-0.46, q=0.68",NA
"Pegunavirus","3003923","antibiotic efflux","Down",238,0.204200583289326,-0.442424242424242,0.613402494890942,"LM","LM: ρ=-0.44, q=0.61",NA
"Pegunavirus","3000190","antibiotic target protection","Down",236.471479722985,0.211125882438227,-0.433160483169608,0.313879733866917,"CON",NA,"CON: ρ=-0.43, q=0.31"
"Pegunavirus","3003948","antibiotic efflux","Down",236.471479722985,0.211125882438227,-0.433160483169608,0.613402494890942,"LM","LM: ρ=-0.43, q=0.61",NA
"Tequintavirus","3000375","antibiotic target alteration","Up",236,0.218028474590315,-0.43030303030303,0.879904299312423,"LM","LM: ρ=-0.43, q=0.88",NA
"Vespertilionpoxvirus","3000190","antibiotic target protection","Up",234.851884114072,0.222818104283032,-0.423344752206496,0.665979192846838,"LM","LM: ρ=-0.42, q=0.67",NA
"Vividuovirus","3002459","antibiotic inactivation","Up",234.210046147975,0.227551510224215,-0.419454825139245,0.519478653985056,"LM","LM: ρ=-0.42, q=0.52",NA
"Deltaentomopoxvirus","3005053","antibiotic target alteration","Up",234,0.232418098250503,-0.418181818181818,0.676545641623451,"LM","LM: ρ=-0.42, q=0.68",NA
"Vespertilionpoxvirus","3000518","antibiotic efflux","Up",234,0.232418098250503,-0.418181818181818,0.665979192846838,"LM","LM: ρ=-0.42, q=0.67",NA
"Bequatrovirus","3000300","antibiotic target protection","Up",233.095758003451,0.235903432435196,-0.412701563657277,1,"LM","LM: ρ=-0.41, q=1",NA
"Cepunavirus","3003551","antibiotic efflux","Down",232.019897542944,0.244128681896491,-0.406181197229962,0.399456157755043,"CON",NA,"CON: ρ=-0.41, q=0.4"
"Nebovirus","3003551","antibiotic efflux","Down",232.019897542944,0.244128681896491,-0.406181197229962,0.439431627413684,"CON",NA,"CON: ρ=-0.41, q=0.44"
"Oryzopoxvirus","3003551","antibiotic efflux","Down",232.019897542944,0.244128681896491,-0.406181197229962,0.372596825532459,"CON",NA,"CON: ρ=-0.41, q=0.37"
"Pegunavirus","3004580","antibiotic efflux","Down",232.019897542944,0.244128681896491,-0.406181197229962,0.313879733866917,"CON",NA,"CON: ρ=-0.41, q=0.31"
"Cepunavirus","3000191","antibiotic target protection","Down",232.019897542944,0.244128681896491,-0.406181197229962,0.886511860281654,"LM","LM: ρ=-0.41, q=0.89",NA
"Mimivirus","3000191","antibiotic target protection","Up",232.019897542944,0.244128681896491,-0.406181197229962,0.69007780675231,"LM","LM: ρ=-0.41, q=0.69",NA
"Oryzopoxvirus","3000191","antibiotic target protection","Down",232.019897542944,0.244128681896491,-0.406181197229962,0.830567539789746,"LM","LM: ρ=-0.41, q=0.83",NA
"Oryzopoxvirus","3000196","antibiotic target protection","Down",232,0.247370787611931,-0.406060606060606,0.372596825532459,"CON",NA,"CON: ρ=-0.41, q=0.37"
"Vividuovirus","3003209","antibiotic inactivation","Up",232,0.247370787611931,-0.406060606060606,0.519478653985056,"LM","LM: ρ=-0.41, q=0.52",NA
"Oryzopoxvirus","3003948","antibiotic efflux","Down",231.469484033595,0.248397883688306,-0.402845357779362,0.372596825532459,"CON",NA,"CON: ρ=-0.4, q=0.37"
"Oryzopoxvirus","3000516","antibiotic efflux","Down",231.200913706759,0.250496003525328,-0.401217658828843,0.830567539789746,"LM","LM: ρ=-0.4, q=0.83",NA
"Deltaentomopoxvirus","3000518","antibiotic efflux","Up",230,0.262886783524689,-0.393939393939394,0.676545641623451,"LM","LM: ρ=-0.39, q=0.68",NA
"Parapoxvirus","3004588","antibiotic efflux","Up",230,0.262886783524689,-0.393939393939394,0.51730715609617,"LM","LM: ρ=-0.39, q=0.52",NA
"Vespertilionpoxvirus","3003209","antibiotic inactivation","Up",230,0.262886783524689,-0.393939393939394,0.665979192846838,"LM","LM: ρ=-0.39, q=0.67",NA
"Cepunavirus","3003948","antibiotic efflux","Down",229.216281184998,0.266304105170029,-0.389189582939384,0.399456157755043,"CON",NA,"CON: ρ=-0.39, q=0.4"
"Cepunavirus","3000516","antibiotic efflux","Down",228.191781265543,0.274673014343399,-0.382980492518441,0.886511860281654,"LM","LM: ρ=-0.38, q=0.89",NA
"Nebovirus","3000518","antibiotic efflux","Down",228,0.278965216116317,-0.381818181818182,0.532569958040242,"LM","LM: ρ=-0.38, q=0.53",NA
"Parapoxvirus","3000518","antibiotic efflux","Up",228,0.278965216116317,-0.381818181818182,0.51730715609617,"LM","LM: ρ=-0.38, q=0.52",NA
"Oryzopoxvirus","3004122","reduced permeability to antibiotic","Down",226,0.295604089197812,-0.36969696969697,0.830567539789746,"LM","LM: ρ=-0.37, q=0.83",NA
"Parapoxvirus","3004122","reduced permeability to antibiotic","Up",226,0.295604089197812,-0.36969696969697,0.51730715609617,"LM","LM: ρ=-0.37, q=0.52",NA
"Kayvirus","3003551","antibiotic efflux","Up",225.873480639448,0.294130439696134,-0.368930185693626,0.769720193875235,"LM","LM: ρ=-0.37, q=0.77",NA
"Vividuovirus","3000190","antibiotic target protection","Up",225.804094689704,0.294723837125524,-0.368509664786084,0.442085755688287,"CON",NA,"CON: ρ=-0.37, q=0.44"
"Deltaentomopoxvirus","3004122","reduced permeability to antibiotic","Up",224,0.312800267381167,-0.357575757575757,0.676545641623451,"LM","LM: ρ=-0.36, q=0.68",NA
"Kleczkowskavirus","3004580","antibiotic efflux","Up",224,0.312800267381167,-0.357575757575757,0.634815579453097,"LM","LM: ρ=-0.36, q=0.63",NA
"Vividuovirus","3000518","antibiotic efflux","Up",224,0.312800267381167,-0.357575757575757,0.563300926890596,"LM","LM: ρ=-0.36, q=0.56",NA
"Deltaentomopoxvirus","3002875","antibiotic target replacement","Up",222.778218912019,0.321218896668313,-0.350171023709205,0.676545641623451,"LM","LM: ρ=-0.35, q=0.68",NA
"Vividuovirus","3000190","antibiotic target protection","Up",222.703730355103,0.321886243937483,-0.349719577909714,0.563300926890596,"LM","LM: ρ=-0.35, q=0.56",NA
"Cepunavirus","3004122","reduced permeability to antibiotic","Down",222,0.330549465992496,-0.345454545454545,0.886511860281654,"LM","LM: ρ=-0.35, q=0.89",NA
"Oryzopoxvirus","3004580","antibiotic efflux","Down",222,0.330549465992496,-0.345454545454545,0.830567539789746,"LM","LM: ρ=-0.35, q=0.83",NA
"Pegunavirus","3000375","antibiotic target alteration","Down",222,0.330549465992496,-0.345454545454545,0.694153878584241,"LM","LM: ρ=-0.35, q=0.69",NA
