feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Protein.Metabolism.Protein.processing.and.modification.Signal.peptidase.Signal_peptidase_I_.EC_3.4.21.89.	Diet	LM	-0.0416365378304978	0.00217576005142908	20	20	2.06059618360596e-13	7.00602702426027e-12
DNA.Metabolism.DNA.replication.DNA.replication.DNA_polymerase_III_alpha_subunit_.EC_2.7.7.7.	Diet	LM	-0.0170555114439189	0.00146552927500219	20	20	8.25245880015663e-10	9.35278664017751e-09
Potassium.metabolism...Potassium.homeostasis.Osmosensitive_K._channel_histidine_kinase_KdpD_.EC_2.7.3...	Diet	LM	0.0066904501297689	0.000569606717921193	20	20	7.1184778174127e-10	9.35278664017751e-09
RNA.Metabolism...Group.II.intron.associated.genes.Retron.type_reverse_transcriptase	Diet	LM	-0.0193412585440236	0.0017150323090513	20	20	1.36218585243007e-09	1.15785797456556e-08
Photosynthesis...Proteorhodopsin.Octaprenyl_diphosphate_synthase_.EC_2.5.1.90.	Diet	LM	0.00161797753674426	0.000146213412504198	20	16	1.8389890837205e-09	1.25051257692994e-08
Metabolism.of.Aromatic.Compounds.Metabolism.of.central.aromatic.intermediates.Protocatechuate.branch.of.beta.ketoadipate.pathway.4.carboxymuconolactone_decarboxylase_.EC_4.1.1.44.	Diet	LM	0.0209285902315983	0.00198202413454457	20	20	3.84107326290669e-09	2.17660818231379e-08
Cell.Wall.and.Capsule.Capsular.and.extracellular.polysacchrides.Exopolysaccharide.Biosynthesis.Glycosyl_transferase._group_2_family_protein	Diet	LM	-0.0124295332817384	0.00120989020900878	20	20	5.88862823402676e-09	2.86019085652728e-08
Nucleosides.and.Nucleotides.Pyrimidines.De.Novo.Pyrimidine.Synthesis.Carbamoyl.phosphate_synthase_large_chain_.EC_6.3.5.5.	Diet	LM	-0.0228095258886385	0.00252128461575253	20	20	4.07680001047735e-08	1.73264000445287e-07
Amino.Acids.and.Derivatives.Glutamine..glutamate..aspartate..asparagine..ammonia.assimilation.Glutamine..Glutamate..Aspartate.and.Asparagine.Biosynthesis.Glutamate_synthase_.NADPH._large_chain_.EC_1.4.1.13.	Diet	LM	-0.0185364422720551	0.00216829847829278	20	20	9.40603088293435e-08	3.55338944466409e-07
Respiration...Soluble.cytochromes.and.functionally.related.electron.carriers.Ferredoxin	Diet	LM	0.0115462521171149	0.00137795862011403	20	20	1.25931051129869e-07	3.8924143076505e-07
Secondary.Metabolism.Biologically.active.compounds.in.metazoan.cell.defence.and.differentiation.Steroid.sulfates.Arylsulfatase_.EC_3.1.6.1.	Diet	LM	0.0110573848973334	0.001312833927023	20	20	1.1685245392949e-07	3.8924143076505e-07
Miscellaneous.Plant.Prokaryote.comparative.genomics.Omega.amidase.KE2.4.hydroxy.tetrahydrodipicolinate_synthase_.EC_4.3.3.7.	Diet	LM	-0.0156623805615685	0.00188813683033107	20	20	1.45732729641488e-07	4.12909400650883e-07
Central.metabolism...EC.6.4.1...Ligases.that.form.carbon.carbon.bonds.Oxaloacetate_decarboxylase_alpha_chain_.EC_4.1.1.3.	Diet	LM	0.00465614198223579	0.00057013119556764	20	20	1.82443363166278e-07	4.43076739118105e-07
Virulence.Resistance.to.antibiotics.and.toxic.compounds.Cobalt.zinc.cadmium.resistance.Cobalt.zinc.cadmium_resistance_protein_CzcA._Cation_efflux_system_protein_CusA	Diet	LM	0.00991050057290892	0.00120763729465426	20	20	1.70148969313711e-07	4.43076739118105e-07
Stress.Response.Osmotic.stress.Choline.and.Betaine.Uptake.and.Betaine.Biosynthesis.Choline.sulfatase_.EC_3.1.6.6.	Diet	LM	0.0142416074072872	0.00179879585918266	20	20	2.84070848707541e-07	6.43893923737092e-07
