"label","ARO_Accession","Resistance_Mechanism","statistic","p.value","estimate","qval","Group","label.lm","label.con"
"Oxygen stress response /
Human gut microbiome","3000191","antibiotic target protection",268.313547148427,0.0527782450136654,-0.626142709990467,0.390343319537452,"CON",NA,"CON: ρ=-0.63, q=0.39"
"Regulation of
Oxidative Stress Response","3000375","antibiotic target alteration",250,0.132823060175966,-0.515151515151515,0.23244035530794,"LM","LM: ρ=-0.52, q=0.23",NA
"Regulation of
Oxidative Stress Response","3007180","antibiotic inactivation",234,0.232418098250503,-0.418181818181818,0.325385337550704,"LM","LM: ρ=-0.42, q=0.33",NA
"Oxidative stress","3000375","antibiotic target alteration",232.019897542944,0.244128681896491,-0.406181197229962,0.624180380260589,"CON",NA,"CON: ρ=-0.41, q=0.62"
"Regulation of
Oxidative Stress Response","3000191","antibiotic target protection",231.200913706759,0.250496003525328,-0.401217658828843,0.830314419392192,"CON",NA,"CON: ρ=-0.4, q=0.83"
"Regulation of
Oxidative Stress Response","3000190","antibiotic target protection",227.93757169636,0.276771473130731,-0.381439828462789,0.830314419392192,"CON",NA,"CON: ρ=-0.38, q=0.83"
"Oxygen stress response /
Human gut microbiome","3000190","antibiotic target protection",219.403663669735,0.352168660821274,-0.32971917375597,0.624180380260589,"CON",NA,"CON: ρ=-0.33, q=0.62"
"Oxidative stress","3000300","antibiotic target protection",214.953682250364,0.39517129334856,-0.302749589396148,0.624180380260589,"CON",NA,"CON: ρ=-0.3, q=0.62"
"Oxidative stress","3002875","antibiotic target replacement",214.953682250364,0.39517129334856,-0.302749589396148,0.624180380260589,"CON",NA,"CON: ρ=-0.3, q=0.62"
"Oxidative stress","3004580","antibiotic efflux",212.871355387817,0.416120253507059,-0.29012942659283,0.624180380260589,"CON",NA,"CON: ρ=-0.29, q=0.62"
"Oxygen stress response /
Human gut microbiome","3000191","antibiotic target protection",212.871355387817,0.416120253507059,-0.29012942659283,0.624180380260589,"LM","LM: ρ=-0.29, q=0.62",NA
"Oxygen stress response /
Human gut microbiome","3005059","antibiotic efflux",208,0.469675250206491,-0.260606060606061,0.657545350289087,"LM","LM: ρ=-0.26, q=0.66",NA
"Regulation of
Oxidative Stress Response","3000196","antibiotic target protection",198,0.58354058456642,-0.2,0.644965909257623,"LM","LM: ρ=-0.2, q=0.64",NA
"Oxygen stress response /
Human gut microbiome","3000190","antibiotic target protection",196.382730544003,0.598668304071766,-0.190198366933353,0.739531434441593,"LM","LM: ρ=-0.19, q=0.74",NA
"Oxidative stress","3000191","antibiotic target protection",193.72281323269,0.630536075556976,-0.174077655955698,0.861946865749199,"LM","LM: ρ=-0.17, q=0.86",NA
"Regulation of
Oxidative Stress Response","3000191","antibiotic target protection",193.72281323269,0.630536075556976,-0.174077655955698,0.662062879334825,"LM","LM: ρ=-0.17, q=0.66",NA
"Regulation of
Oxidative Stress Response","3000196","antibiotic target protection",190,0.681807643477163,-0.151515151515151,0.876609827327781,"CON",NA,"CON: ρ=-0.15, q=0.88"
"Oxidative stress","3005059","antibiotic efflux",180,0.811416953056796,-0.0909090909090909,0.946653111899596,"LM","LM: ρ=-0.09, q=0.95",NA
"Oxidative stress","3000196","antibiotic target protection",176,0.864753528804526,-0.0666666666666667,0.955210784637922,"CON",NA,"CON: ρ=-0.07, q=0.96"
"Regulation of
Oxidative Stress Response","3000375","antibiotic target alteration",174.574271077563,0.873494892371295,-0.058025885318566,0.910534230729969,"CON",NA,"CON: ρ=-0.06, q=0.91"
"Oxidative stress","3000375","antibiotic target alteration",172,0.918633282432669,-0.0424242424242424,0.964564946554302,"LM","LM: ρ=-0.04, q=0.96",NA
"Oxidative stress","3001855","antibiotic inactivation",163.987653853419,0.986579249480659,0.00613543119139849,0.986579249480659,"LM","LM: ρ=0.01, q=0.99",NA
"Oxidative stress","3003948","antibiotic efflux",161.620195727105,0.955210784637922,0.0204836622599676,0.955210784637922,"CON",NA,"CON: ρ=0.02, q=0.96"
"Regulation of
Oxidative Stress Response","3003948","antibiotic efflux",158.240391454211,0.910534230729969,0.0409673245199351,0.910534230729969,"CON",NA,"CON: ρ=0.04, q=0.91"
"Oxygen stress response /
Human gut microbiome","3003209","antibiotic inactivation",158,0.918633282432669,0.0424242424242424,0.918633282432669,"LM","LM: ρ=0.04, q=0.92",NA
"Oxidative stress","3003551","antibiotic efflux",155.425728922437,0.873494892371295,0.058025885318566,0.955210784637922,"CON",NA,"CON: ρ=0.06, q=0.96"
"Oxidative stress","3007180","antibiotic inactivation",154,0.864753528804526,0.0666666666666667,0.955780216047108,"LM","LM: ρ=0.07, q=0.96",NA
"Oxidative stress","3003551","antibiotic efflux",147.460183544566,0.770074459986722,0.106301917911723,0.946653111899596,"LM","LM: ρ=0.11, q=0.95",NA
"Oxygen stress response /
Human gut microbiome","3003948","antibiotic efflux",146.974377211229,0.763855690009,0.109246198719827,0.763855690009,"CON",NA,"CON: ρ=0.11, q=0.76"
"Oxygen stress response /
Human gut microbiome","3007180","antibiotic inactivation",146,0.758833070490857,0.115151515151515,0.7967747240154,"LM","LM: ρ=0.12, q=0.8",NA
"Oxygen stress response /
Human gut microbiome","3000196","antibiotic target protection",142,0.707203785571239,0.139393939393939,0.763855690009,"CON",NA,"CON: ρ=0.14, q=0.76"
"Oxygen stress response /
Human gut microbiome","3002459","antibiotic inactivation",141.929984617342,0.70005687327699,0.139818275046415,0.773747070464042,"LM","LM: ρ=0.14, q=0.77",NA
"Regulation of
Oxidative Stress Response","3003551","antibiotic efflux",140.237906180563,0.679008929705254,0.150073295875373,0.679008929705254,"LM","LM: ρ=0.15, q=0.68",NA
"Oxidative stress","3005053","antibiotic target alteration",138,0.656721421523199,0.163636363636364,0.861946865749199,"LM","LM: ρ=0.16, q=0.86",NA
"Oxygen stress response /
Human gut microbiome","3004588","antibiotic efflux",138,0.656721421523199,0.163636363636364,0.766174991777066,"LM","LM: ρ=0.16, q=0.77",NA
"Oxygen stress response /
Human gut microbiome","3004580","antibiotic efflux",136.27718676731,0.630536075556976,0.174077655955698,0.763855690009,"CON",NA,"CON: ρ=0.17, q=0.76"
